src,tgt
c1(C(=O)Cl)ccccc1.Cl.C1CN(C(=O)C2CCCNC2)CC(c2ccc(Cl)c(Cl)c2)C1N(C)C(=O)c1ccc(Cl)cc1,C1CN(C(=O)C2CCCN(C(=O)c3ccccc3)C2)CC(c2ccc(Cl)c(Cl)c2)C1N(C)C(=O)c1ccc(Cl)cc1
Cl.Clc1ccc(C(=O)N(C)C2CCN(C(=O)C3CCCNC3)CC2c2ccc(Cl)c(Cl)c2)cc1.O=C(Cl)c1ccccc1,Clc1ccc(C(=O)N(C)C2CCN(C(=O)C3CCCN(C(=O)c4ccccc4)C3)CC2c2ccc(Cl)c(Cl)c2)cc1
Cl.c1(C(=O)Cl)ccccc1.C1C(c2ccc(Cl)c(Cl)c2)C(N(C)C(=O)c2ccc(Cl)cc2)CCN1C(=O)C1CCCNC1,C1C(c2ccc(Cl)c(Cl)c2)C(N(C)C(=O)c2ccc(Cl)cc2)CCN1C(=O)C1CCCN(C(=O)c2ccccc2)C1
ClC(=O)c1ccccc1.N1CCCC(C(=O)N2CCC(N(C)C(=O)c3ccc(Cl)cc3)C(c3ccc(Cl)c(Cl)c3)C2)C1.Cl,N1(C(=O)c2ccccc2)CCCC(C(=O)N2CCC(N(C)C(=O)c3ccc(Cl)cc3)C(c3ccc(Cl)c(Cl)c3)C2)C1
CO.[OH-].[Na+].CC(=O)Nc1c(-c2ccccn2)cccc1[N+](=O)[O-],Nc1c(-c2ccccn2)cccc1[N+](=O)[O-]
[OH-].[Na+].c1ccc([N+](=O)[O-])c(NC(C)=O)c1-c1ccccn1.OC,c1ccc([N+](=O)[O-])c(N)c1-c1ccccn1
c1ccnc(-c2cccc([N+](=O)[O-])c2NC(C)=O)c1.[Na+].[OH-].OC,c1ccnc(-c2cccc([N+](=O)[O-])c2N)c1
OC.[Na+].O=[N+]([O-])c1cccc(-c2ccccn2)c1NC(C)=O.[OH-],O=[N+]([O-])c1cccc(-c2ccccn2)c1N
c1ccc([N+](=O)[O-])c(NC(C)=O)c1-c1ccccn1.[OH-].[Na+].CO,c1ccc([N+](=O)[O-])c(N)c1-c1ccccn1
O.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl.CC(C)(C)c1nnc(N)s1.COc1cc2nccc(Oc3ccc(N)c(C)c3C)c2cc1OC.CCN(CC)CC.ClC(Cl)Cl,COc1cc2nccc(Oc3ccc(NC(=O)Nc4nnc(C(C)(C)C)s4)c(C)c3C)c2cc1OC
ClC(Cl)(Cl)OC(=O)OC(Cl)(Cl)Cl.N(CC)(CC)CC.COc1cc2nccc(Oc3ccc(N)c(C)c3C)c2cc1OC.O.ClC(Cl)Cl.C(C)(C)(C)c1nnc(N)s1,COc1cc2nccc(Oc3ccc(NC(=O)Nc4nnc(C(C)(C)C)s4)c(C)c3C)c2cc1OC
O.n1nc(C(C)(C)C)sc1N.O(c1ccc(N)c(C)c1C)c1ccnc2cc(OC)c(OC)cc12.C(C)N(CC)CC.ClC(Cl)Cl.ClC(Cl)(Cl)OC(=O)OC(Cl)(Cl)Cl,O(c1ccc(NC(=O)Nc2nnc(C(C)(C)C)s2)c(C)c1C)c1ccnc2cc(OC)c(OC)cc12
O.N(CC)(CC)CC.ClC(Cl)(Cl)OC(=O)OC(Cl)(Cl)Cl.ClC(Cl)Cl.CC(C)(C)c1nnc(N)s1.c12cc(OC)c(OC)cc1c(Oc1ccc(N)c(C)c1C)ccn2,c12cc(OC)c(OC)cc1c(Oc1ccc(NC(=O)Nc3nnc(C(C)(C)C)s3)c(C)c1C)ccn2
C(=O)(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl.Nc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)c(C)c1C.ClC(Cl)Cl.CC(C)(C)c1nnc(N)s1.O.CCN(CC)CC,N(C(=O)Nc1nnc(C(C)(C)C)s1)c1ccc(Oc2ccnc3cc(OC)c(OC)cc23)c(C)c1C
[OH-].Cl.O.[K+].OCCO.Cc1c(Cl)cnn(C(C)(C)C)c1=O,Cc1c(O)cnn(C(C)(C)C)c1=O
Cl.[K+].c1(Cl)cnn(C(C)(C)C)c(=O)c1C.C(O)CO.[OH-].O,c1(O)cnn(C(C)(C)C)c(=O)c1C
CC(C)(C)n1ncc(Cl)c(C)c1=O.O.OCCO.Cl.[OH-].[K+],CC(C)(C)n1ncc(O)c(C)c1=O
CC(C)(C)n1ncc(Cl)c(C)c1=O.Cl.[OH-].O.C(O)CO.[K+],CC(C)(C)n1ncc(O)c(C)c1=O
OCCO.Cc1c(Cl)cnn(C(C)(C)C)c1=O.Cl.[OH-].O.[K+],Cc1c(O)cnn(C(C)(C)C)c1=O
[K+].CO.O=C([O-])[O-].COC(=O)CCCCCCCc1ccc(C=O)o1.[K+],O=C(O)CCCCCCCc1ccc(C=O)o1
CO.c1(C=O)ccc(CCCCCCCC(=O)OC)o1.C(=O)([O-])[O-].[K+].[K+],c1(C=O)ccc(CCCCCCCC(=O)O)o1
