system,src,tgt
Convert natural language to regular expression.,lines with the string 'dog' or not a character at least once,((dog)|(~(.)))+
Convert natural language to regular expression.,lines starting with a lower-case letter before a capital letter,(([a-z])(.*)).*([A-Z]).*
Convert natural language to regular expression.,lines with a character or the string 'dog' before the string 'truck',((.)|(dog)).*(truck).*
Convert natural language to regular expression.,lines with a capital letter at least once and starting with the string 'dog',(([A-Z])+)&((dog)(.*))
Convert natural language to regular expression.,"lines with words with a letter, the string 'dog', and a vowel",\b([A-Za-z])&(dog)&([AEIOUaeiou])\b
Convert natural language to regular expression.,"lines with words with either the string 'dog', a lower-case letter, or a vowel",\b(dog)|([a-z])|([AEIOUaeiou])\b
Convert natural language to regular expression.,"lines containing words with a character, zero or more times",.*\b(.)*\b.*
Convert natural language to regular expression.,"lines with words with either a character, the string 'dog', or a vowel",\b(.)|(dog)|([AEIOUaeiou])\b
Convert natural language to regular expression.,"lines not having the string 'dog' or the string 'truck', zero or more times",~(((dog)|(truck))*)
Convert natural language to regular expression.,"lines having a character, a lower-case letter, and a capital letter before the string 'dog'",((.)&([a-z])&([A-Z])).*(dog).*
Convert natural language to regular expression.,lines ending with a lower-case letter before a number,((.*)([a-z])).*([0-9]).*
Convert natural language to regular expression.,"lines having a character, a letter, and a number before a vowel",((.)&([A-Za-z])&([0-9])).*([AEIOUaeiou]).*
Convert natural language to regular expression.,"lines containing a letter, a number, and a vowel",.*([A-Za-z])&([0-9])&([AEIOUaeiou]).*
Convert natural language to regular expression.,lines with a number followed by a vowel before a letter,([0-9].*[AEIOUaeiou].*).*([A-Za-z]).*
Convert natural language to regular expression.,lines with the string 'dog' at least once before a vowel,((dog)+).*([AEIOUaeiou]).*
Convert natural language to regular expression.,"lines containing a capital letter, a letter, and a character",.*([A-Z])&([A-Za-z])&(.).*
Convert natural language to regular expression.,lines ending with a number and the string 'dog' followed by a character,((.*)([0-9]))&(dog.*..*)
Convert natural language to regular expression.,lines with words with a capital letter and the string 'dog',\b([A-Z])&(dog)\b
Convert natural language to regular expression.,lines starting with a number before a capital letter followed by a lower-case letter,(([0-9])(.*)).*([A-Z].*[a-z].*).*
Convert natural language to regular expression.,lines with a lower-case letter followed by a vowel before a capital letter,([a-z].*[AEIOUaeiou].*).*([A-Z]).*
Convert natural language to regular expression.,"lines starting with words with either a character, the string 'dog', or a vowel",(\b(.)|(dog)|([AEIOUaeiou])\b)(.*)
Convert natural language to regular expression.,lines containing a lower-case letter before a vowel or the string 'dog',(.*[a-z].*).*(([AEIOUaeiou])|(dog)).*
Convert natural language to regular expression.,lines containing a number and the string 'dog',.*([0-9])&(dog).*
Convert natural language to regular expression.,"lines with the string 'dog' followed by the string 'truck' before either the string 'ring', the string 'lake', or a character",(dog.*truck.*).*((ring)|(lake)|(.)).*
Convert natural language to regular expression.,"lines with the string 'dog' followed by a vowel before a capital letter, the string 'truck', and a lower-case letter",(dog.*[AEIOUaeiou].*).*(([A-Z])&(truck)&([a-z])).*
Convert natural language to regular expression.,"lines with words with ending with a capital letter, 5 or more times","(\b(.*)([A-Z])\b){5,}"
Convert natural language to regular expression.,"lines with the string 'dog' before a capital letter, 4 or more times","(dog).*(([A-Z]){4,}).*"
Convert natural language to regular expression.,"lines with a letter, 6 or more times before the string 'dog'","(([A-Za-z]){6,}).*(dog).*"
Convert natural language to regular expression.,lines with words with a vowel followed by a character before a capital letter,\b([AEIOUaeiou].*..*).*([A-Z]).*\b
Convert natural language to regular expression.,"lines not having the string 'dog', 7 or more times and not a vowel","~(((dog){7,})&([AEIOUaeiou]))"
Convert natural language to regular expression.,lines with a number before a letter at least once,([0-9]).*(([A-Za-z])+).*
Convert natural language to regular expression.,"lines having a letter, a vowel, and a character before the string 'dog'",(([A-Za-z])&([AEIOUaeiou])&(.)).*(dog).*
Convert natural language to regular expression.,"lines having a character, a vowel, and a letter before the string 'dog'",((.)&([AEIOUaeiou])&([A-Za-z])).*(dog).*
Convert natural language to regular expression.,lines not having a number before a vowel,~(([0-9]).*([AEIOUaeiou]).*)
Convert natural language to regular expression.,"lines with a character followed by a lower-case letter, 5 or more times","(..*[a-z].*){5,}"
Convert natural language to regular expression.,lines containing a letter or a character,.*([A-Za-z])|(.).*
Convert natural language to regular expression.,"lines with words with a vowel, the string 'dog', and the string 'truck'",\b([AEIOUaeiou])&(dog)&(truck)\b
Convert natural language to regular expression.,"lines with words with a letter, a vowel, and the string 'dog'",\b([A-Za-z])&([AEIOUaeiou])&(dog)\b
Convert natural language to regular expression.,lines containing ending with a number and the string 'dog',.*((.*)([0-9]))&(dog).*
Convert natural language to regular expression.,lines with a number before not a character,([0-9]).*(~(.)).*
Convert natural language to regular expression.,"lines with a capital letter followed by a number, 3 or more times","([A-Z].*[0-9].*){3,}"
Convert natural language to regular expression.,"lines with the string 'dog', zero or more times and a lower-case letter or the string 'truck'",((dog)*)&(([a-z])|(truck))
Convert natural language to regular expression.,lines with words with a character and a letter,\b(.)&([A-Za-z])\b
Convert natural language to regular expression.,"lines having either the string 'dog', a number, or the string 'truck' before the string 'ring'",((dog)|([0-9])|(truck)).*(ring).*
Convert natural language to regular expression.,lines with a lower-case letter followed by a capital letter before a character,([a-z].*[A-Z].*).*(.).*
Convert natural language to regular expression.,"lines with a number, 3 or more times before a vowel","(([0-9]){3,}).*([AEIOUaeiou]).*"
Convert natural language to regular expression.,lines with words with a vowel or the string 'dog' at least once,(\b([AEIOUaeiou])|(dog)\b)+
Convert natural language to regular expression.,"lines not having a lower-case letter, a capital letter, or a vowel",~(([a-z])|([A-Z])|([AEIOUaeiou]))
Convert natural language to regular expression.,lines with words with ending with a capital letter before the string 'dog',\b((.*)([A-Z])).*(dog).*\b
Convert natural language to regular expression.,lines with a lower-case letter or the string 'dog' before a number,(([a-z])|(dog)).*([0-9]).*
Convert natural language to regular expression.,"lines not having a lower-case letter, the string 'dog', or a capital letter",~(([a-z])|(dog)|([A-Z]))
Convert natural language to regular expression.,lines with a letter before ending with a number,([A-Za-z]).*((.*)([0-9])).*
Convert natural language to regular expression.,"lines not having the string 'dog', a character, or a vowel",~((dog)|(.)|([AEIOUaeiou]))
Convert natural language to regular expression.,lines not ending with containing a vowel,~((.*)(.*[AEIOUaeiou].*))
Convert natural language to regular expression.,lines with a letter and a vowel before a character,(([A-Za-z])&([AEIOUaeiou])).*(.).*
Convert natural language to regular expression.,"lines with a vowel or a lower-case letter, 5 or more times","(([AEIOUaeiou])|([a-z])){5,}"
Convert natural language to regular expression.,"lines with a lower-case letter, 6 or more times before a vowel","(([a-z]){6,}).*([AEIOUaeiou]).*"
Convert natural language to regular expression.,"lines with a letter before the string 'dog', a character, and the string 'truck'",([A-Za-z]).*((dog)&(.)&(truck)).*
Convert natural language to regular expression.,lines with a character followed by the string 'dog' before a letter,(..*dog.*).*([A-Za-z]).*
Convert natural language to regular expression.,"lines with a capital letter followed by a lower-case letter, 4 or more times","([A-Z].*[a-z].*){4,}"
Convert natural language to regular expression.,lines with a letter before a capital letter followed by the string 'dog',([A-Za-z]).*([A-Z].*dog.*).*
Convert natural language to regular expression.,lines containing a capital letter and the string 'dog' before a vowel,.*(([A-Z])&(dog)).*([AEIOUaeiou]).*.*
Convert natural language to regular expression.,lines with a letter before a capital letter and the string 'dog',([A-Za-z]).*(([A-Z])&(dog)).*
Convert natural language to regular expression.,lines containing words with a number at least once,.*\b([0-9])+\b.*
Convert natural language to regular expression.,"lines with a lower-case letter or a number, 2 or more times","(([a-z])|([0-9])){2,}"
Convert natural language to regular expression.,lines with words that contain the string 'dog' or a capital letter,\b.*(dog)|([A-Z]).*\b
Convert natural language to regular expression.,lines ending with the string 'dog' followed by a lower-case letter at least once,((.*)(dog.*[a-z].*))+
Convert natural language to regular expression.,"lines containing a lower-case letter, a letter, and the string 'dog'",.*([a-z])&([A-Za-z])&(dog).*
Convert natural language to regular expression.,"lines not having a lower-case letter before a vowel, zero or more times",~(([a-z]).*(([AEIOUaeiou])*).*)
Convert natural language to regular expression.,"lines with a letter or the string 'dog', 6 or more times","(([A-Za-z])|(dog)){6,}"
Convert natural language to regular expression.,"lines with words with the string 'dog' or a letter, zero or more times",\b((dog)|([A-Za-z]))*\b
Convert natural language to regular expression.,lines containing the string 'dog' and a vowel or the string 'truck',(.*dog.*)&(([AEIOUaeiou])|(truck))
Convert natural language to regular expression.,lines containing a character at least once and the string 'dog',.*((.)+)&(dog).*
Convert natural language to regular expression.,lines with a number before a letter or the string 'dog',([0-9]).*(([A-Za-z])|(dog)).*
Convert natural language to regular expression.,lines ending with not the string 'dog' or a vowel,(.*)((~(dog))|([AEIOUaeiou]))
Convert natural language to regular expression.,lines not having a lower-case letter before a capital letter,~(([a-z]).*([A-Z]).*)
Convert natural language to regular expression.,"lines with the string 'dog', zero or more times or a lower-case letter before a character",((dog)*)|(([a-z]).*(.).*)
Convert natural language to regular expression.,lines ending with a lower-case letter or a number,(.*)(([a-z])|([0-9]))
Convert natural language to regular expression.,"lines with the string 'dog' before either the string 'truck', a capital letter, or a letter",(dog).*((truck)|([A-Z])|([A-Za-z])).*
Convert natural language to regular expression.,"lines with the string 'dog', zero or more times before the string 'truck' or the string 'ring'",((dog)*).*((truck)|(ring)).*
Convert natural language to regular expression.,lines with a letter followed by the string 'dog' before a character,([A-Za-z].*dog.*).*(.).*
Convert natural language to regular expression.,"lines with words with either a capital letter, the string 'dog', or a letter",\b([A-Z])|(dog)|([A-Za-z])\b
Convert natural language to regular expression.,lines with words with a vowel before the string 'dog',\b([AEIOUaeiou]).*(dog).*\b
Convert natural language to regular expression.,"lines containing a vowel, a character, and a lower-case letter",.*([AEIOUaeiou])&(.)&([a-z]).*
Convert natural language to regular expression.,"lines with a number before a vowel, 5 or more times","([0-9]).*(([AEIOUaeiou]){5,}).*"
Convert natural language to regular expression.,"lines with a number before either the string 'dog', a vowel, or a lower-case letter",([0-9]).*((dog)|([AEIOUaeiou])|([a-z])).*
Convert natural language to regular expression.,lines with a lower-case letter followed by the string 'dog' before a number,([a-z].*dog.*).*([0-9]).*
Convert natural language to regular expression.,"lines containing a letter, a capital letter, and a vowel",.*([A-Za-z])&([A-Z])&([AEIOUaeiou]).*
Convert natural language to regular expression.,lines with a capital letter followed by a number and not the string 'dog',([A-Z].*[0-9].*)&(~(dog))
Convert natural language to regular expression.,"lines starting with the string 'dog' or the string 'truck', 7 or more times","(((dog)|(truck)){7,})(.*)"
Convert natural language to regular expression.,"lines not having a letter, not a lower-case letter, and not a capital letter",~(([A-Za-z])&([a-z])&([A-Z]))
Convert natural language to regular expression.,lines with a vowel before ending with a character,([AEIOUaeiou]).*((.*)(.)).*
Convert natural language to regular expression.,lines with a number followed by a capital letter and the string 'dog' at least once,([0-9].*[A-Z].*)&((dog)+)
Convert natural language to regular expression.,"lines with a vowel followed by a capital letter, zero or more times",([AEIOUaeiou].*[A-Z].*)*
Convert natural language to regular expression.,"lines with words with either a lower-case letter, a number, or a character",\b([a-z])|([0-9])|(.)\b
Convert natural language to regular expression.,"lines ending with a vowel, 2 or more times before the string 'dog'","(((.*)([AEIOUaeiou])){2,}).*(dog).*"
Convert natural language to regular expression.,"lines with a character followed by the string 'dog', 2 or more times","(..*dog.*){2,}"
Convert natural language to regular expression.,lines with a number before a letter and the string 'dog',([0-9]).*(([A-Za-z])&(dog)).*
Convert natural language to regular expression.,"lines with the string 'dog', 6 or more times before ending with the string 'truck'","((dog){6,}).*((.*)(truck)).*"
Convert natural language to regular expression.,"lines having either the string 'dog', the string 'truck', or a letter before the string 'ring'",((dog)|(truck)|([A-Za-z])).*(ring).*
Convert natural language to regular expression.,"lines ending with a vowel, zero or more times",((.*)([AEIOUaeiou]))*
Convert natural language to regular expression.,"lines with a letter before ending with a capital letter, zero or more times",([A-Za-z]).*((.*)(([A-Z])*)).*
Convert natural language to regular expression.,lines with a character at least once or ending with the string 'dog',((.)+)|((.*)(dog))
Convert natural language to regular expression.,"lines with a vowel followed by a lower-case letter, 3 or more times","([AEIOUaeiou].*[a-z].*){3,}"
Convert natural language to regular expression.,"lines containing the string 'dog' before a letter, 3 or more times","(.*(dog).*([A-Za-z]).*.*){3,}"
Convert natural language to regular expression.,"lines with the string 'dog', 2 or more times or containing a lower-case letter","((dog){2,})|(.*[a-z].*)"
Convert natural language to regular expression.,lines with words with a number followed by a vowel,\b[0-9].*[AEIOUaeiou].*\b
Convert natural language to regular expression.,lines with a lower-case letter before ending with a vowel,([a-z]).*((.*)([AEIOUaeiou])).*
Convert natural language to regular expression.,lines containing words with a number and the string 'dog',.*\b([0-9])&(dog)\b.*
Convert natural language to regular expression.,lines with the string 'dog' before a vowel and the string 'truck' at least once,((dog).*([AEIOUaeiou]).*)&((truck)+)
Convert natural language to regular expression.,"lines not having the string 'dog', not a vowel, and not a number",~((dog)&([AEIOUaeiou])&([0-9]))
Convert natural language to regular expression.,lines with a vowel followed by a letter,[AEIOUaeiou].*[A-Za-z].*
Convert natural language to regular expression.,lines not having a vowel before the string 'dog',~(([AEIOUaeiou]).*(dog).*)
Convert natural language to regular expression.,lines with a number followed by a letter before a capital letter,([0-9].*[A-Za-z].*).*([A-Z]).*
Convert natural language to regular expression.,lines with a vowel before a capital letter or a letter at least once,((([AEIOUaeiou]).*([A-Z]).*)|([A-Za-z]))+
Convert natural language to regular expression.,"lines containing either a lower-case letter, a letter, or a capital letter",.*([a-z])|([A-Za-z])|([A-Z]).*
Convert natural language to regular expression.,"lines containing a character, a vowel, and a number",.*(.)&([AEIOUaeiou])&([0-9]).*
Convert natural language to regular expression.,lines with a capital letter or a lower-case letter before the string 'dog',(([A-Z])|([a-z])).*(dog).*
Convert natural language to regular expression.,"lines with a letter followed by the string 'dog', zero or more times",([A-Za-z].*dog.*)*
Convert natural language to regular expression.,lines with a capital letter before the string 'dog' or a lower-case letter,([A-Z]).*((dog)|([a-z])).*
Convert natural language to regular expression.,"lines ending with words with the string 'dog', a letter, and a lower-case letter",(.*)(\b(dog)&([A-Za-z])&([a-z])\b)
Convert natural language to regular expression.,"lines with words with the string 'dog', a letter, and a capital letter",\b(dog)&([A-Za-z])&([A-Z])\b
Convert natural language to regular expression.,lines with a number followed by a vowel before the string 'dog',([0-9].*[AEIOUaeiou].*).*(dog).*
Convert natural language to regular expression.,lines with a letter or a lower-case letter at least once,(([A-Za-z])|([a-z]))+
Convert natural language to regular expression.,lines with the string 'dog' at least once or not the string 'truck',((dog)+)|(~(truck))
Convert natural language to regular expression.,lines containing the string 'dog' before ending with the string 'truck',(.*dog.*).*((.*)(truck)).*
Convert natural language to regular expression.,lines with a letter followed by a character before not the string 'dog',([A-Za-z].*..*).*(~(dog)).*
Convert natural language to regular expression.,lines ending with the string 'dog' and a capital letter or a number,((.*)(dog))&(([A-Z])|([0-9]))
Convert natural language to regular expression.,lines starting with the string 'dog' or ending with a letter,((dog)|((.*)([A-Za-z])))(.*)
Convert natural language to regular expression.,lines with words with a number or a letter at least once,\b(([0-9])|([A-Za-z]))+\b
Convert natural language to regular expression.,lines ending with the string 'dog' before a letter,((.*)(dog)).*([A-Za-z]).*
Convert natural language to regular expression.,"lines ending with the string 'dog' followed by a lower-case letter, 4 or more times","((.*)(dog.*[a-z].*)){4,}"
Convert natural language to regular expression.,lines with the string 'dog' at least once or the string 'truck' and a number,((dog)+)|((truck)&([0-9]))
Convert natural language to regular expression.,"lines with the string 'dog' before the string 'truck' and a vowel, 3 or more times","((dog).*(truck).*)&(([AEIOUaeiou]){3,})"
Convert natural language to regular expression.,lines with the string 'dog' followed by a vowel before a character,(dog.*[AEIOUaeiou].*).*(.).*
Convert natural language to regular expression.,"lines not having the string 'dog', not a number, and not a letter",~((dog)&([0-9])&([A-Za-z]))
Convert natural language to regular expression.,"lines with a lower-case letter before the string 'dog', the string 'truck', and a capital letter",([a-z]).*((dog)&(truck)&([A-Z])).*
Convert natural language to regular expression.,lines not having the string 'dog' or a number,~((dog)|([0-9]))
Convert natural language to regular expression.,lines ending with a character or a number,(.*)((.)|([0-9]))
Convert natural language to regular expression.,"lines with a letter before either the string 'dog', a character, or a number",([A-Za-z]).*((dog)|(.)|([0-9])).*
Convert natural language to regular expression.,lines ending with containing a vowel followed by a character,(.*)(.*[AEIOUaeiou].*..*.*)
Convert natural language to regular expression.,lines with a letter before the string 'dog' and a character,([A-Za-z]).*((dog)&(.)).*
Convert natural language to regular expression.,lines ending with a lower-case letter or the string 'dog' and the string 'truck',(.*)(([a-z])|((dog)&(truck)))
Convert natural language to regular expression.,lines containing the string 'dog' and a capital letter or the string 'truck',.*(dog)&(([A-Z])|(truck)).*
Convert natural language to regular expression.,"lines having either a vowel, a number, or the string 'dog' before the string 'truck'",(([AEIOUaeiou])|([0-9])|(dog)).*(truck).*
Convert natural language to regular expression.,"lines having either a number, the string 'dog', or a capital letter before the string 'truck'",(([0-9])|(dog)|([A-Z])).*(truck).*
Convert natural language to regular expression.,lines ending with a capital letter before the string 'dog' and a character,((.*)([A-Z])).*((dog)&(.)).*
Convert natural language to regular expression.,lines not having the string 'dog' followed by the string 'truck' at least once,~((dog.*truck.*)+)
Convert natural language to regular expression.,"lines with the string 'dog' followed by the string 'truck' or a vowel, zero or more times",((dog.*truck.*)|([AEIOUaeiou]))*
Convert natural language to regular expression.,lines starting with a character followed by a capital letter,(..*[A-Z].*)(.*)
Convert natural language to regular expression.,"lines with the string 'dog' or starting with a character, 5 or more times","((dog)|((.)(.*))){5,}"
Convert natural language to regular expression.,lines containing a capital letter or the string 'dog' and the string 'truck',.*(([A-Z])|(dog))&(truck).*
Convert natural language to regular expression.,"lines with a letter before ending with the string 'dog', 3 or more times","([A-Za-z]).*(((.*)(dog)){3,}).*"
Convert natural language to regular expression.,lines containing the string 'dog' or not the string 'truck',.*(dog)|(~(truck)).*
Convert natural language to regular expression.,"lines containing the string 'dog', 5 or more times",".*(dog){5,}.*"
Convert natural language to regular expression.,lines not having a letter followed by a capital letter,~([A-Za-z].*[A-Z].*)
Convert natural language to regular expression.,lines with words with a capital letter or a character at least once,\b(([A-Z])|(.))+\b
Convert natural language to regular expression.,"lines with words with either the string 'dog', a letter, or a vowel",\b(dog)|([A-Za-z])|([AEIOUaeiou])\b
Convert natural language to regular expression.,lines with a vowel before containing a capital letter,([AEIOUaeiou]).*(.*[A-Z].*).*
Convert natural language to regular expression.,lines with a character and a vowel before a number,((.)&([AEIOUaeiou])).*([0-9]).*
Convert natural language to regular expression.,lines not having the string 'dog' or containing a number,~((dog)|(.*[0-9].*))
Convert natural language to regular expression.,"lines with a capital letter or a vowel, 2 or more times","(([A-Z])|([AEIOUaeiou])){2,}"
Convert natural language to regular expression.,lines with words with a letter followed by a number,\b[A-Za-z].*[0-9].*\b
Convert natural language to regular expression.,lines with the string 'dog' and a lower-case letter before a character,((dog)&([a-z])).*(.).*
Convert natural language to regular expression.,"lines starting with a capital letter or the string 'dog', 4 or more times","(([A-Z])|((dog){4,}))(.*)"
Convert natural language to regular expression.,"lines not having a letter, not a vowel, and not a lower-case letter",~(([A-Za-z])&([AEIOUaeiou])&([a-z]))
Convert natural language to regular expression.,"lines ending with a letter, 6 or more times","((.*)([A-Za-z])){6,}"
Convert natural language to regular expression.,lines containing a lower-case letter before the string 'dog' and the string 'truck',(.*[a-z].*).*((dog)&(truck)).*
Convert natural language to regular expression.,"lines with words with ending with a character, 4 or more times","(\b(.*)(.)\b){4,}"
Convert natural language to regular expression.,"lines containing the string 'dog' followed by a lower-case letter, zero or more times",.*(dog.*[a-z].*)*.*
Convert natural language to regular expression.,"lines having the string 'dog', a letter, and the string 'truck' before the string 'ring'",((dog)&([A-Za-z])&(truck)).*(ring).*
Convert natural language to regular expression.,"lines containing words with the string 'dog', the string 'truck', and the string 'ring'",.*\b(dog)&(truck)&(ring)\b.*
Convert natural language to regular expression.,lines with a vowel before a character followed by a capital letter,([AEIOUaeiou]).*(..*[A-Z].*).*
Convert natural language to regular expression.,lines with the string 'dog' before a lower-case letter followed by a number,(dog).*([a-z].*[0-9].*).*
Convert natural language to regular expression.,lines with the string 'dog' before the string 'truck' and ending with the string 'ring',((dog).*(truck).*)&((.*)(ring))
Convert natural language to regular expression.,"lines starting with words with a letter, 7 or more times","(\b([A-Za-z]){7,}\b)(.*)"
Convert natural language to regular expression.,lines containing the string 'dog' and starting with a capital letter,.*(dog)&(([A-Z])(.*)).*
Convert natural language to regular expression.,"lines with a letter before words with the string 'dog', zero or more times",([A-Za-z]).*(\b(dog)*\b).*
Convert natural language to regular expression.,lines with a capital letter followed by the string 'dog' or a letter and a character,([A-Z].*dog.*)|(([A-Za-z])&(.))
Convert natural language to regular expression.,"lines with words with the string 'dog' followed by a letter, zero or more times",(\bdog.*[A-Za-z].*\b)*
Convert natural language to regular expression.,"lines ending with a vowel or the string 'dog', 3 or more times","((.*)(([AEIOUaeiou])|(dog))){3,}"
Convert natural language to regular expression.,"lines with words with a number or a vowel, zero or more times",(\b([0-9])|([AEIOUaeiou])\b)*
Convert natural language to regular expression.,"lines with words with the string 'dog' followed by a lower-case letter, 7 or more times","(\bdog.*[a-z].*\b){7,}"
Convert natural language to regular expression.,lines not having a vowel followed by a letter at least once,~(([AEIOUaeiou].*[A-Za-z].*)+)
Convert natural language to regular expression.,"lines not having a number, a character, or the string 'dog' before the string 'truck'",~((([0-9])|(.)|(dog)).*(truck).*)
Convert natural language to regular expression.,"lines with words with a number before a vowel, zero or more times",\b([0-9]).*(([AEIOUaeiou])*).*\b
Convert natural language to regular expression.,lines not having the string 'dog' at least once before a letter,(~((dog)+)).*([A-Za-z]).*
Convert natural language to regular expression.,"lines with a number followed by a capital letter, zero or more times",([0-9].*[A-Z].*)*
Convert natural language to regular expression.,lines containing a lower-case letter,.*[a-z].*
Convert natural language to regular expression.,"lines containing a number, the string 'dog', and a letter",.*([0-9])&(dog)&([A-Za-z]).*
Convert natural language to regular expression.,lines with the string 'dog' or the string 'truck' before a lower-case letter and a character,((dog)|(truck)).*(([a-z])&(.)).*
Convert natural language to regular expression.,"lines with a number followed by a character, zero or more times",([0-9].*..*)*
Convert natural language to regular expression.,"lines with a number before a lower-case letter, zero or more times",([0-9]).*(([a-z])*).*
Convert natural language to regular expression.,"lines having a letter, the string 'dog', and a number before the string 'truck'",(([A-Za-z])&(dog)&([0-9])).*(truck).*
Convert natural language to regular expression.,lines with a letter and the string 'dog' before the string 'truck',(([A-Za-z])&(dog)).*(truck).*
Convert natural language to regular expression.,lines starting with words with a vowel and the string 'dog',(\b([AEIOUaeiou])&(dog)\b)(.*)
Convert natural language to regular expression.,lines not starting with a character followed by a number,~((..*[0-9].*)(.*))
Convert natural language to regular expression.,"lines having either a character, the string 'dog', or a capital letter before a vowel",((.)|(dog)|([A-Z])).*([AEIOUaeiou]).*
Convert natural language to regular expression.,"lines with a letter, 2 or more times and a lower-case letter followed by a capital letter","(([A-Za-z]){2,})&([a-z].*[A-Z].*)"
Convert natural language to regular expression.,"lines with words with a vowel followed by a lower-case letter, zero or more times",\b([AEIOUaeiou].*[a-z].*)*\b
Convert natural language to regular expression.,lines not starting with a letter,~(([A-Za-z])(.*))
Convert natural language to regular expression.,lines with the string 'dog' before the string 'truck' or a number and the string 'ring',((dog).*(truck).*)|(([0-9])&(ring))
Convert natural language to regular expression.,lines containing the string 'dog' or a vowel,.*(dog)|([AEIOUaeiou]).*
Convert natural language to regular expression.,"lines having either a vowel, the string 'dog', or a letter before the string 'truck'",(([AEIOUaeiou])|(dog)|([A-Za-z])).*(truck).*
Convert natural language to regular expression.,"lines with words with a character or the string 'dog', 6 or more times","(\b(.)|(dog)\b){6,}"
Convert natural language to regular expression.,"lines containing ending with the string 'dog', 2 or more times",".*(.*)((dog){2,}).*"
Convert natural language to regular expression.,"lines with words with either the string 'dog', a letter, or a number",\b(dog)|([A-Za-z])|([0-9])\b
Convert natural language to regular expression.,lines with words that contain only a character or the string 'dog',\b(.)|(dog)\b
Convert natural language to regular expression.,"lines with the string 'dog' before either the string 'truck', a letter, or a capital letter",(dog).*((truck)|([A-Za-z])|([A-Z])).*
Convert natural language to regular expression.,lines with a number at least once and starting with the string 'dog',(([0-9])+)&((dog)(.*))
Convert natural language to regular expression.,"lines having either a capital letter, a lower-case letter, or the string 'dog' before the string 'truck'",(([A-Z])|([a-z])|(dog)).*(truck).*
Convert natural language to regular expression.,"lines with words with either a vowel, a lower-case letter, or a capital letter",\b([AEIOUaeiou])|([a-z])|([A-Z])\b
Convert natural language to regular expression.,"lines with the string 'dog' before a vowel, a letter, and a number",(dog).*(([AEIOUaeiou])&([A-Za-z])&([0-9])).*
Convert natural language to regular expression.,lines with words with the string 'dog' and a character,\b(dog)&(.)\b
Convert natural language to regular expression.,"lines with a capital letter, 7 or more times","([A-Z]){7,}"
Convert natural language to regular expression.,"lines with words with either a lower-case letter, a letter, or a character",\b([a-z])|([A-Za-z])|(.)\b
Convert natural language to regular expression.,lines with words with the string 'dog' before containing the string 'truck',\b(dog).*(.*truck.*).*\b
Convert natural language to regular expression.,"lines with a number or a vowel, zero or more times",(([0-9])|([AEIOUaeiou]))*
Convert natural language to regular expression.,"lines with a letter before either a number, a lower-case letter, or a capital letter",([A-Za-z]).*(([0-9])|([a-z])|([A-Z])).*
