src,tgt
O=C([O-])CCC[C@@H](O)/C=C\C=C\C=CC(=O)C/C=C\CCCCC(O)O,O=C([O-])CCC[C@@H](O)/C=C\C=C\C=CC(=O)C/C=C\CCCCC(O)(O)O
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,C#C[C@]1(O)CC[C@@H]2C1[C@H](CC)C(=C)[C@H]1[C@H]2CCC2=CCC(O)C[C@@H]21
CO[C@H]1O[C@H](CO)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@@H](O[C@]3(C(=O)[O-])C[C@H](O)[C@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O3)[C@H]2O)[C@H]1NC(C)=O,CO[C@H]1O[C@@H](CO[C@]2(C(=O)[O-])C[C@H](O)[C@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)[C@H](O)[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O[C@]3(C(=O)[O-])C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O3)[C@H]2O)[C@H]1NC(C)=O
N[C@@H](CCC([O-])=N[C@@H](CS)C(O)=NCC(=O)O)C(=O)O,N[C@H](CCC([O-])=N[C@@H](CSc1c(O)c([O-])cc2c1C[C@H](C(=O)O)N2)C(O)=NCC(=O)O)C(=O)O
CCCCC[C@H](O)/C=C/C=C\C/C=C\C/C=C\CCCC(=O)[O-],CCCCCC(=O)C=C/C=C\CC=CC/C=C\CCCC(=O)[O-]
O=C(O)C(O)Cc1ccc([O-])cc1,O=C(O)/C=C/c1ccc([O-])cc1
NC(=[NH2+])N1CCc2ccccc2C1,NC(=[NH2+])N1Cc2ccccc2C(O)C1
C=CC1=C(C)C(=Cc2[nH]c(Cc3[nH]c(C=C4NC(=O)C(C)=C4CCC(=O)[O-])c(CCC(=O)[O-])c3C)c(C)c2C=C)NC1=O,C=CC1=C(C)C(=CC2=N/C(=C/c3[nH]c(C=C4NC(=O)C(C)=C4CCC(=O)[O-])c(CCC(=O)[O-])c3C)C(C)=C2C=C)NC1=O
OC(O)C(Cl)(Cl)Cl,O=C([O-])C(Cl)(Cl)Cl
CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCNC)cc1)c1ccccc1,CCC(c1ccccc1)C(c1ccc(OCCNC)cc1)c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1
CC/C=C/C/C=C/C/C=C/C/C=C/C/C=C/CCC/C=C/C(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CCC(C)(C)C(=O)O[C@@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@H]3C[C@@H](O)CC(=O)O3)[C@H]21,CCC(C)(C)C(=O)O[C@@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21
CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS,CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
O[C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O,O=P([O-])([O-])O[C@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
CNC(=O)C(CCC(CN)OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)NC(C)=O,CNC(=O)C(CCC(CN)OC1OC(CO)C(O)C(O)C1O)NC(C)=O
O=C(O)Cc1cc(C(=O)O)ccc1Nc1c(F)cc(O)cc1Cl,O=C(O)c1ccc2c(c1)CC(=O)N2c1c(F)cc(O)cc1Cl
CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@H]2[C@H](C)CCCC(C)C)C1,CCCCCCCC/C=C\CCCCCCCC(=O)[O-]
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,C[C@]12CC[C@H]3c4ccc(O)cc4CC[C@@H]3[C@H]1C[C@@H](O)[C@@H]2OC1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O
[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-],[NH3+][C@@H](CC1=CC(=O)C(=O)C=C1)C(=O)[O-]
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,CC12CCC(O)CC1=CCC1C2CCC2(C)C(O)CCC12
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,CN(C/C=C/C#CC(C)(C)C)Cc1cc(O)c(O)c2ccccc12
CC[C@@H](C)[C@@H](N)C(=O)N1CCC[C@H]1C(O)=N[C@@H](Cc1ccc(O)cc1)C(O)=N[C@@H](C(O)=N[C@@H](CC(C)C)C(=O)O)[C@H](C)CC,CC[C@@H](C)[C@@H](N)C(=O)N1CCC[C@H]1C(O)=N[C@@H](Cc1ccc(O)cc1)C(O)=N[C@@H](C(=O)O)[C@H](C)CC
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccc(O)cc3)CC1)C2
CC[C@@H](C(=O)[O-])C(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],C[C@@H](CC(=O)[O-])C(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
[O-][As](O)O,C[As](=O)([O-])O
NCCCC(=O)O,O=CCCC(=O)O
NC(CC(=O)c1ccccc1N=CO)C(=O)O,O=C(O)c1ccccc1N=C[O-]
C=C(CCC(C)C1CCC2C3=CCC4C(C)C(O)CCC4(C)C3CCC21C)C(C)C,C=C(CCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)C(C)C1CC3)C(C)C
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,CC[N+]1([O-])C=C(C(=O)O)C(=O)c2cc(F)c(N3CCN(C)CC3)cc21
CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,NCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
CN(C)CCCN1c2ccccc2Sc2ccccc21,CN(C)CCCN1c2ccccc2S(=O)c2ccccc21
[H]/N=C(\O)C[C@H](N)C(=O)O,[H]/N=C(\O)C[C@H](N=C(C)[O-])C(=O)O
CC(=O)NCCCC=O,CC(=O)NCCCC[NH3+]
CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,CC(C)OC(=O)[C@H](C)N[P@@](=O)(O)OCC1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O
C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
[NH3+][C@H]1[C@@H](O[C@@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]2O)O[C@@H](CO)[C@@H](O)[C@@H]1O,CC(=O)OC[C@H](COP(=O)([O-])O[C@H]1[C@@H](O[C@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]2[NH3+])[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)OC(C)=O
C=CC1=C(C)C(=Cc2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)[O-])c(CCC(=O)[O-])c2C)NC1=O,C=CC1=C(C)C(=CC2=NC(=Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)[O-])C(CCC(=O)[O-])=C2C)NC1=O
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43C)C1CC[C@@H]2C(=O)CO
CCCCCCCCCCCCCC=C[C@@H](O)[C@H](CO[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@H]4O[C@H](CO)[C@H](O)[C@H](O[C@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(C)=O,CCCCCCCCCCCCCC=C[C@@H](O)[C@H](CO[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@H]4O[C@H](CO)[C@H](O)[C@H](O[C@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O[C@@H]5O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]5O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(C)=O
CC(=O)N[C@@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,O=c1ccn([C@@H]2O[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
NC(CCC=O)C(=O)O,NC(CCC(=O)OP(=O)(O)O)C(=O)O
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C,CC(C)=CCCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CC[C@@H](O)C(C)(C)C1CC3
CNCC/C=C1/c2ccccc2COc2ccc(O)cc21,CN(C)CC/C=C1\c2ccccc2COc2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)cc21
CCCCCCCCCCCCCCC[C@@H](O)[C@@H]([NH3+])CO,CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)COP(=O)([O-])O
CN1C(=O)CC[C@H]1c1cccnc1,CN1C(=O)[C@H](O)C[C@H]1c1cccnc1
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
CCCCC/C=C\C[C@@H]1O[C@@H]1CCCCCCCC(=O)[O-],CCCCC/C=C\CC(O)C(O)CCCCCCCC(=O)[O-]
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,CCC(=O)N(c1ccccc1)C1CCNCC1
[NH3+][C@@H](CS(=O)(=O)[O-])C(=O)[O-],[NH3+]CCS(=O)(=O)[O-]
CC1=C(C/C=C(\C)CCCC(C)CCCC(C)CCCC(C)C)C(=O)c2ccccc2C1=O,C/C(=C\Cc1c(C)c(O)c2ccccc2c1O)CCCC(C)CCCC(C)CCCC(C)C
Cc1c(O)cc2c(c1C)O[C@](C)(CCC[C@@H](C)CCC[C@@H](C)CCCC(C)CO)CC2,Cc1c([O-])cc2c(c1C)O[C@](C)(CCC[C@@H](C)CCC[C@@H](C)CCCC(C)C(=O)O)CC2
COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H](O)[C@@H]3Cc5cc(C)c(OC)c(O)c5[C@H]([C@H]21)N3C)OCO4,COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H](O)[C@@H]3Cc5cc(CC(=O)O)c(OC)c(O)c5[C@H]([C@H]21)N3C)OCO4
C=P(OC)(OC)Oc1cc(C)ccc1C,C=P(O)(OC)Oc1cc(C)ccc1C
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2n1C=CC1OC21
Cn1ccnc1SO,Cn1ccnc1S(=O)O
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,C[C@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@H]3[C@@H]1CC[C@@H]2O
CC1CC(O)C(COP(=O)(O)OP(=O)(O)O)O1,CC1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O
C=CCC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(/C)C(=O)O)C2(C)C)CC1=O,C=CC(O)C1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(/C)C(=O)O)C2(C)C)CC1=O
N[C@@H](CC1=CC(=O)C(=O)C=C1)C(=O)O,O=C(O)[C@@H]1Cc2cc([O-])c(O)cc2N1
Cc1ccccc1C,Cc1cccc(O)c1C
N[C@@H](CCCC[NH3+])C(=O)O,N[C@@H](CCCCN[C@@H](CCC(=O)[O-])C(=O)O)C(=O)O
C[C@]12CC[C@@H]3[C@H]4CCC(=O)C(O)=C4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,C[C@]12CC[C@@H]3[C@H]4CCC(=O)C(O)=C4CC[C@H]3[C@@H]1CC[C@@H]2O
COc1cc2c(CCN=C(C)O)c[nH]c2cc1O,COc1cc2c(CCNC(C)=O)c[nH]c2cc1OC1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
C[n+]1cccc(C(N)=O)c1,NC(=O)c1cccnc1
Nc1nc(NC2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(N)c(=O)[nH]1,Nc1nc(N[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(NC=O)c(=O)[nH]1
Nc1nc(=O)c2ncn(COCCO)c2[nH]1,N=c1nc(O)c2ncn(COCC(=O)O)c2[nH]1
CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS,CCCCCC=CCC=CCC=CCC=CCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(N)cc12,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(C)=O)cc12
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,OC1=NC(c2ccccc2)(c2ccc(O)cc2)C(O)=N1
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]34O[C@H]4C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,CC(C)=CCNC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1
CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)[nH]c12,CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCNCC4)ccc3OCC)[nH]c12
CCCCCCCCCCCC(=O)O,CCCCCCCCCCCC(=O)SC
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,O=C1Nc2c(CCO)ccnc2N(C2CC2)c2ncccc21
O=C([O-])CCC(O)c1cccnc1,O=C([O-])CCC(=O)c1cccnc1
CCCCC/C=C\C[C@H](O)C=CCCC(O)CC(=O)[O-],CCCCC/C=C\C[C@H](O)C=CCCC(=O)CC(=O)[O-]
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,c1ccc(C(OC2CCNCC2)c2ccccc2)cc1
CCCCC/C=C\CC(O)CC/C=C/C=C\C(O)CCCC(=O)[O-],CCCCC/C=C\CC(=O)CC/C=C/C=C\[C@H](O)CCCC(=O)[O-]
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C([O-])=NCCC([O-])=NCCS,CC(C)CCCC(C)CCCC(C)CCCC(C)C(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]
O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,O=C(O)[C@@H]1OC(O[C@@H](CC[C@H]2C(=O)N(c3ccc(F)cc3)[C@@H]2c2ccc(O)cc2)c2ccc(F)cc2)[C@@H](O)[C@H](O)[C@H]1O
COC(=O)CC(=O)SC,COC(=O)CC(=O)CC(=O)SC
Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,Nc1nc2ncc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)nc2c(=O)[nH]1
O=c1nc([O-])ccn1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)([O-])[O-])O1,O=c1nc([O-])ccn1[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])O)O1
O=C(O)CNC(=O)c1cccc([123I])c1,[123I-]
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C[C@H]1C[C@H]3O
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC(=O)[C@H]1CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@@]21C
Cc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)([O-])[O-])c2C)c(N)n1,Cc1ncc(C[n+]2c(C(C)O)sc(CCOP(=O)([O-])OP(=O)([O-])[O-])c2C)c(N)n1
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OS(=O)(=O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OS(=O)(=O)O)C(OP(=O)(O)O)C1O
Cc1ncc(CO)c(C=O)c1O,Cc1ncc(COP(=O)([O-])[O-])c(C=O)c1O
CC1=C(C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,CC1=C(C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1
O=C([O-])C1=NCCSC1,O=C([O-])C1CSCC[NH2+]1
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,c1ccc(C(c2ccccc2)N2CCNCC2)cc1
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CCCC(=O)C(=O)O)C2SC1,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CCCC(N)C(=O)O)C2SC1
O=C1C=C2C[C@@H](C(=O)[O-])NC2=CC1=O,O=C([O-])c1cc2cc(O)c(O)cc2[nH]1
NC(=O)c1ccc[n+]([C@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NC(=O)c1ccc[n+]([C@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,Clc1cccc(N2CCNCC2)c1
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,OCCN1CCOCC1
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(C(=O)O)ccc1O
Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)c2c(ncn2C)n(C)c1=O
CC1CCN(C)CC1,CNCCC(C)CC(=O)O
NCCCC(N)C(=O)O,NC(CCC=O)C(=O)O
